input_utterance,paraphrase_value,paraphrase_template
I want to put a copy of this tune into Skatepark Punks,Can you add this song to Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I want to rate With Lee in Virginia, A Story of the American Civil War chronicle 4 out of 6.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Rate this album two out of 6,Give this album a rating of 2 on a scale of 6,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) )
Give the current part of the saga 4 points out of 6.,Rate the current episode of the saga with a score of 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Can you play some music from the fifties by lavern baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Play a track from Shahram Nazeri released in 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,"Can you play some Satire music for me, please?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( , ) ( INTJ ) ) ( . ) )"
When is Crime and Punishment U.S.A. showing?,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,locate Fox Theatres featuring The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you show me The Wedding Ring movie playing at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to explore the contents of The Lion Sleeps Tonight book,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Where can I purchase a pre-owned version of the game titled I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,can you find the least expensive flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,I would like to book a flight from Milwaukee to Orlando either in the evening on Wednesday or in the morning on Thursday.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,what is the cheapest price for a flight from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,what is the lowest priced single ticket from Boston to Baltimore,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the ground transportation from oakland to san francisco,can you tell me how to travel from Oakland to San Francisco?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
can i get a rental car in dallas,Is it possible for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
show me the airlines between boston and denver,display the list of airlines operating between Boston and Denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,what is the meaning of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,What is the meaning of DFW?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
Terminate i-a541 now,End the i-a541 immediately,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Find videos on cooking,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Locate the most popular pictures with the #LOVE tag,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Find several beautiful images that match Opera House and have dimensions of 1024px * 768px,( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Did someone turn off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Can you recommend a budget-friendly hotel close to Seattle for tomorrow for 2 people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you find me any inexpensive accommodations for a week-long stay in the vicinity of Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Email Phil and let her know that I have her back.,( S ( VP ( VP ) ( CC ) ( VP ) ) ( . ) )
Give me 5 conference articles about text mining,Provide me with five conference articles related to text mining.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,Can you find me the most recent scientific publication about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Make a comment that says ''Greatest Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Jump to the previous song,Skip to the previous track,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Move to the following track,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Where can I get my laptop upgraded?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you provide me with three barber shops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Please show me the best three convenience stores close to Newtown.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Can you find me reviews for McDonald's located on Kensington street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Book a taxi to take me home from the airport,( S ( VP ( VB ) ( NP ) ( S ) ) )
what is the forecast for colder in Anston,Can you tell me the weather forecast for Anston when it gets colder?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( SBAR ) ) ( . ) )
How hot is it in Pesotum,What is the temperature in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( PP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you find a pub that serves Italian dressing and can accommodate a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Reserve a restaurant in Equatorial Guinea this month for a party of nine.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Book a table for eight people please,Can you please reserve a table for a party of eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Add Ruud Jolie to my Guest List Polygon playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,include Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ) )
I want to put a copy of this tune into Skatepark Punks,I would like to add this melody to Skatepark Punks.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I want to rate With Lee in Virginia, A Story of the American Civil War chronicle number 4 out of 6.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Rate this album two out of 6,Give this album a rating of two out of six,( S ( VP ( VB ) ( NP ) ( NP ) ) )
Give the current part of the saga 4 points out of 6.,Rate the current section of the saga with a score of 4 out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Could you please play some music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Play a track from Shahram Nazeri that was released in 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Please play me some Satire music,Could you play some music in the genre of Satire for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,What are the showtimes for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBP ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,locate Fox Theatres featuring The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can I see The Wedding Ring at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to peruse the novel The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Do you know any stores where I can purchase a pre-owned copy of the game called I Lie Around?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,can you find me the least expensive flight from Denver to Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,Find flights from Milwaukee to Orlando either on Wednesday evening or Thursday morning.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,what is the cheapest ticket price from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,what is the least expensive one-way ticket price from Boston to Baltimore,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the ground transportation from oakland to san francisco,how can I travel from Oakland to San Francisco by ground transportation?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
can i get a rental car in dallas,Is it possible for me to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
what airlines fly between boston and atlanta,Which airlines operate flights between Boston and Atlanta?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) )
show me the airlines between boston and denver,display the airlines operating between boston and denver,( S ( VP ( VB ) ( S ) ) )
what does ls stand for,What is the meaning of ls?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
what does dfw mean,What is the meaning of DFW?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
Terminate i-a541 now,End the i-a541 immediately,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Find videos related to cooking,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Discover the most popular pictures with the hashtag #LOVE,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Find a couple of beautiful images that match Opera House with dimensions 1024px * 768px,( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Do the burglar alarms in the office have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Is the TV in the house off ?,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Can you recommend a budget-friendly hotel near Seattle for tomorrow for two people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you help me find affordable accommodations for a week-long stay in the vicinity of Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Compose an email to Phil informing her that ''I understand you'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) )
Give me 5 conference articles about text mining,Find 5 conference articles related to text mining,( S ( VP ( VB ) ( NP ) ) )
I am looking for the latest scientific article related to Machine Learning,Can you show me the most recent scientific paper on Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Jump to the previous song,Go back to the previous track,( S ( VP ( VB ) ( ADVP ) ) )
Skip to the next song,Go to the next track,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Can you show me places where I can improve my laptop?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you provide me with three barbershops located in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Can you show me the top three convenience stores close to Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Can you provide me with reviews for McDonald's located on Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Get a cab from the airport to my house,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) )
What is the forecast for Harrison-Crawford State Forest,What will the weather be like at Harrison-Crawford State Forest?,( SBARQ ( WHNP ( WP ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
what is the forecast for colder in Anston,Can you tell me the weather forecast for Anston in colder temperatures?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How hot is it in Pesotum,What is the temperature like in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you find me a pub that serves Italian dressing for a party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Reserve a restaurant in Equatorial Guinea for nine guests this month.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Book a table for eight people please,Can you reserve a table for a party of eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Add Ruud Jolie to the playlist Guest List Polygon,( S ( VP ( VB ) ( NP ) ( PP ) ) )
add this artist named Kirk Hammett to my playlist Party,include this musician named Kirk Hammett in my Party playlist,( S ( VP ( VB ) ( NP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you please add this song to Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","I want to rate the book With Lee in Virginia, A Story of the American Civil War chronicle 4 out of 6.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
Rate this album two out of 6,Give this album a rating of 2 out of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Give the current part of the saga 4 points out of 6.,Rate the current part of the saga with 4 out of 6 points.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Can you please play some music from the fifties by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Can you please play a song by Shahram Nazeri from 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Please play me some Satire music,"Can you find and play some Satire songs for me, please?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ( , ) ( INTJ ) ) ( . ) )"
When is Crime and Punishment U.S.A. showing?,What is the showtime for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,search for Fox Theatres featuring The Caretaker,( NP ( NP ( NP ) ( PP ) ) ( VP ( VBG ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you show me where I can watch The Wedding Ring at a movie theater?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to peruse the book titled The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Where can I purchase a second-hand version of the game titled I Lie Around?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,I would like to find the most affordable flight from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,I would like to book a flight from Milwaukee to Orlando. Can I fly on either Wednesday evening or Thursday morning?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
what is the lowest fare from denver to pittsburgh,what is the cheapest ticket price for a flight from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,Can you tell me the lowest price for a one-way ticket from Boston to Baltimore?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
what is the ground transportation from oakland to san francisco,how can I travel from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
can i get a rental car in dallas,Is it possible to rent a car in Dallas?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
